id,x_coord,y_coord,Elevation1
54780,-44424.815,-140621.228,3.40128636360168
54781,-44424.815,-140871.228,3.72491240501404
54782,-44424.815,-141121.228,4.44189262390137
54783,-44424.815,-141371.228,5.28333187103271
54784,-44424.815,-141621.228,5.40000009536743
54785,-44424.815,-141871.228,4.52060317993164
54786,-44424.815,-142121.228,3.525151014328
54787,-44424.815,-142371.228,3.46611452102661
54788,-44424.815,-142621.228,3.59999990463257
54789,-44424.815,-142871.228,3.70300316810608
54790,-44424.815,-143121.228,4.19918823242188
54791,-44424.815,-143371.228,4.59999990463257
54792,-44424.815,-143621.228,4.5
54793,-44424.815,-143871.228,4.34213161468506
54794,-44424.815,-144121.228,4.19999980926514
54795,-44424.815,-144371.228,4.05233764648438
54796,-44424.815,-144621.228,4.09999990463257
54797,-44424.815,-144871.228,4.19999980926514
55128,-44174.815,-140621.228,6.8136248588562
55129,-44174.815,-140871.228,5.63480567932129
55130,-44174.815,-141121.228,5.54468679428101
55131,-44174.815,-141371.228,4.78476762771606
55132,-44174.815,-141621.228,4.30000019073486
55133,-44174.815,-141871.228,5.1267786026001
55134,-44174.815,-142121.228,4.54607248306274
55135,-44174.815,-142371.228,4.30000019073486
55136,-44174.815,-142621.228,4.40000009536743
55137,-44174.815,-142871.228,4.30000019073486
55138,-44174.815,-143121.228,4.69999980926514
55139,-44174.815,-143371.228,4.90000009536743
55140,-44174.815,-143621.228,4.80000019073486
55141,-44174.815,-143871.228,4.59999990463257
55142,-44174.815,-144121.228,4.40000009536743
55143,-44174.815,-144371.228,4.20552444458008
55144,-44174.815,-144621.228,4.19999980926514
55145,-44174.815,-144871.228,4.30000019073486
55476,-43924.815,-140621.228,6.74621391296387
55477,-43924.815,-140871.228,5.13812446594238
55478,-43924.815,-141121.228,4.32857322692871
55479,-43924.815,-141371.228,3.5854127407074
55480,-43924.815,-141621.228,2.90117239952087
55481,-43924.815,-141871.228,3.78849530220032
55482,-43924.815,-142121.228,4.82535552978516
55483,-43924.815,-142371.228,5.09999990463257
55484,-43924.815,-142621.228,4.90000009536743
55485,-43924.815,-142871.228,4.90000009536743
55486,-43924.815,-143121.228,4.59999990463257
55487,-43924.815,-143371.228,4.32411098480225
55488,-43924.815,-143621.228,4.30000019073486
55489,-43924.815,-143871.228,4.60414457321167
55490,-43924.815,-144121.228,4.59999990463257
55491,-43924.815,-144371.228,4.43552017211914
55492,-43924.815,-144621.228,4.40000009536743
55493,-43924.815,-144871.228,4.40000009536743
55824,-43674.815,-140621.228,5.4282865524292
55825,-43674.815,-140871.228,4.50096940994263
55826,-43674.815,-141121.228,3.60064172744751
55827,-43674.815,-141371.228,2.76856112480164
55828,-43674.815,-141621.228,2
55829,-43674.815,-141871.228,2.7665491104126
55830,-43674.815,-142121.228,3.84546756744385
55831,-43674.815,-142371.228,4.23597526550293
55832,-43674.815,-142621.228,4.62648344039917
55833,-43674.815,-142871.228,4.35753583908081
55834,-43674.815,-143121.228,3.89499068260193
55835,-43674.815,-143371.228,3.5
55836,-43674.815,-143621.228,3.59999990463257
55837,-43674.815,-143871.228,4
55838,-43674.815,-144121.228,4.05874681472778
55839,-43674.815,-144371.228,4.24153327941895
55840,-43674.815,-144621.228,4.23648929595947
55841,-43674.815,-144871.228,4.5
56172,-43424.815,-140621.228,4.87393760681152
56173,-43424.815,-140871.228,3.90000009536743
56174,-43424.815,-141121.228,3.00549578666687
56175,-43424.815,-141371.228,2.10282206535339
56176,-43424.815,-141621.228,1.70000004768372
56177,-43424.815,-141871.228,1.81436204910278
56178,-43424.815,-142121.228,2.69284248352051
56179,-43424.815,-142371.228,3.28696250915527
56180,-43424.815,-142621.228,3.77341890335083
56181,-43424.815,-142871.228,3.4639847278595
56182,-43424.815,-143121.228,3.09999990463257
56183,-43424.815,-143371.228,2.70000004768372
56184,-43424.815,-143621.228,2.93525958061218
56185,-43424.815,-143871.228,2.82582926750183
56186,-43424.815,-144121.228,2.60289669036865
56187,-43424.815,-144371.228,2.38955092430115
56188,-43424.815,-144621.228,2.313640832901
56189,-43424.815,-144871.228,3.39743041992188
56520,-43174.815,-140621.228,4.69999980926514
56521,-43174.815,-140871.228,3.4301917552948
56522,-43174.815,-141121.228,2.40456557273865
56523,-43174.815,-141371.228,1.79999995231628
56524,-43174.815,-141621.228,1.40010190010071
56525,-43174.815,-141871.228,1.09582269191742
56526,-43174.815,-142121.228,1.70000004768372
56527,-43174.815,-142371.228,2.40000009536743
56528,-43174.815,-142621.228,2.90000009536743
56529,-43174.815,-142871.228,2.59999990463257
56530,-43174.815,-143121.228,2.21934676170349
56531,-43174.815,-143371.228,1.89999997615814
56532,-43174.815,-143621.228,1.79999995231628
56533,-43174.815,-143871.228,1.60000002384186
56534,-43174.815,-144121.228,1.5
56535,-43174.815,-144371.228,1.32248830795288
56536,-43174.815,-144621.228,1.39999997615814
56537,-43174.815,-144871.228,2.93560004234314
56868,-42924.815,-140621.228,4.84027099609375
56869,-42924.815,-140871.228,3.5
56870,-42924.815,-141121.228,2.13178777694702
56871,-42924.815,-141371.228,1.79999995231628
56872,-42924.815,-141621.228,1.5
56873,-42924.815,-141871.228,1.20000004768372
56874,-42924.815,-142121.228,1
56875,-42924.815,-142371.228,1.50072908401489
56876,-42924.815,-142621.228,2.09114050865173
56877,-42924.815,-142871.228,1.70804297924042
56878,-42924.815,-143121.228,1.5
56879,-42924.815,-143371.228,1.5
56880,-42924.815,-143621.228,1.36463630199432
56881,-42924.815,-143871.228,1.20000004768372
56882,-42924.815,-144121.228,1.20000004768372
56883,-42924.815,-144371.228,1.29999995231628
56884,-42924.815,-144621.228,1.39999997615814
56885,-42924.815,-144871.228,2.5
57216,-42674.815,-140621.228,5.05045986175537
57217,-42674.815,-140871.228,3.5505678653717
57218,-42674.815,-141121.228,2.0419750213623
57219,-42674.815,-141371.228,2
57220,-42674.815,-141621.228,1.70000004768372
57221,-42674.815,-141871.228,1.39999997615814
57222,-42674.815,-142121.228,1.20000004768372
57223,-42674.815,-142371.228,1.00112974643707
57224,-42674.815,-142621.228,1.20000004768372
57225,-42674.815,-142871.228,1.10000002384186
57226,-42674.815,-143121.228,1.10000002384186
57227,-42674.815,-143371.228,1.10000002384186
57228,-42674.815,-143621.228,1.10000002384186
57229,-42674.815,-143871.228,1.10000002384186
57230,-42674.815,-144121.228,1.20000004768372
57231,-42674.815,-144371.228,1.29999995231628
57232,-42674.815,-144621.228,1.39999997615814
57233,-42674.815,-144871.228,2.40000009536743
57564,-42424.815,-140621.228,5.06064891815186
57565,-42424.815,-140871.228,3.46075630187988
57566,-42424.815,-141121.228,2
57567,-42424.815,-141371.228,2
57568,-42424.815,-141621.228,1.89999997615814
57569,-42424.815,-141871.228,1.60605037212372
57570,-42424.815,-142121.228,1.4264805316925
57571,-42424.815,-142371.228,1.20000004768372
57572,-42424.815,-142621.228,1
57573,-42424.815,-142871.228,1
57574,-42424.815,-143121.228,1
57575,-42424.815,-143371.228,1
57576,-42424.815,-143621.228,1.01641499996185
57577,-42424.815,-143871.228,1.10000002384186
57578,-42424.815,-144121.228,1.20000004768372
57579,-42424.815,-144371.228,1.29999995231628
57580,-42424.815,-144621.228,1.29999995231628
57581,-42424.815,-144871.228,2.29999995231628
57912,-42174.815,-140621.228,4.97130107879639
57913,-42174.815,-140871.228,3.3714075088501
57914,-42174.815,-141121.228,2
57915,-42174.815,-141371.228,2
57916,-42174.815,-141621.228,2
57917,-42174.815,-141871.228,1.70000004768372
57918,-42174.815,-142121.228,1.5
57919,-42174.815,-142371.228,1.20000004768372
57920,-42174.815,-142621.228,1
57921,-42174.815,-142871.228,1
57922,-42174.815,-143121.228,1
57923,-42174.815,-143371.228,1
57924,-42174.815,-143621.228,1
