1,-24910.91007,-125547.3432,8.85,0
2,-24921.08525,-125553.4782,10.13,0
3,-21048.08802,-140605.1652,70.37,0
4,-21053.15231,-140594.9855,71.48,0
5,-70375.03714,-147824.6307,0.82,0
6,-70725.40245,-147828.4243,0.84,0
7,-70588.71789,-147900.0364,0.66,0
8,-29404.51029,-157091.4853,81.93,0
9,-29309.54199,-157142.534,38.41,0
10,-29331.51332,-157160.0273,40.62,0
11,-29360.57627,-157179.7474,41.93,0
12,-76749.04929,-137300.2996,225.21,0
13,-76747.52698,-137285.4899,225.42,0
14,-76750.09867,-137310.2444,226.68,0
15,-65208.84363,-138787.9956,228.28,0
16,-21286.8031,-127899.228,13.23,0
17,-67127.58694,-144671.6435,0.0,0
18,-67258.53866,-144688.2075,0.2,0
19,-67257.54766,-144688.0792,0.25,0
20,-67324.0147,-144696.4873,0.25,0
21,-67449.01618,-144712.2971,0.5,0
22,-67454.60005,-144705.3075,0.44,0
23,-67441.7622,-144717.829,0.75,0
24,-67508.53906,-144719.8272,1.54,0
25,-67567.97755,-144727.983,0.62,0
26,-67689.28509,-144755.3321,0.13,0
27,-67738.06508,-144771.1517,1.74,0
28,-80207.68523,-146412.8592,162.31,0
29,-80193.38595,-146399.9916,170.99,0
30,-80203.03207,-146418.1846,166.01,0
31,-80004.1191,-146245.1432,155.29,0
32,-79994.13428,-146235.68,167.24,0
33,-80017.3803,-146247.8601,160.79,0
34,-80002.05583,-146249.6971,155.53,0
35,-80007.42134,-146237.8574,151.94,0
36,-59061.81688,-141297.3856,-1.15,0
37,-59061.81688,-141297.3856,-1.13,0
38,-59562.94881,-140893.5723,-1.7,0
39,-59562.94881,-140893.5723,-1.69,0
40,-60055.42882,-140730.1394,-0.09,0
41,-60055.42882,-140730.1394,-0.09,0
42,-67875.01744,-144856.7281,-0.01,0
43,-67936.84773,-144871.5261,0.38,0
44,-67992.34183,-144907.2013,2.95,0
45,-68053.07951,-144946.3195,0.86,0
46,-68094.06847,-144999.4806,0.5,0
47,-68105.91259,-144979.9798,1.83,0
48,-68152.33217,-145030.8819,-0.41,0
49,-68273.54673,-145124.9874,1.45,0
50,-68293.02637,-145084.8456,1.2,0
51,-68340.76143,-145155.0579,0.27,0
52,-68372.60926,-145124.9931,1.64,0
53,-68412.48124,-145167.8998,-0.58,0
